parent stop id;nr of child stop facilities
gtfs_tw_v5_CYI306188;1
gtfs_tw_v5_CYI306189;1
gtfs_tw_v5_CYI306190;1
gtfs_tw_v5_CYI306192;1
gtfs_tw_v5_CYI307320;1
gtfs_tw_v5_CYI307487;1
gtfs_tw_v5_CYI307488;1
gtfs_tw_v5_CYI307489;1
gtfs_tw_v5_CYI307490;1
gtfs_tw_v5_CYI307491;1
gtfs_tw_v5_CYI307492;1
gtfs_tw_v5_CYI308305;1
gtfs_tw_v5_CYI308306;1
gtfs_tw_v5_CYI308307;1
gtfs_tw_v5_CYI308308;1
gtfs_tw_v5_CYI308309;1
gtfs_tw_v5_CYI308310;1
gtfs_tw_v5_CYI308311;1
gtfs_tw_v5_CYI308312;1
gtfs_tw_v5_CYI308313;1
gtfs_tw_v5_CYI308314;1
gtfs_tw_v5_CYI308315;1
gtfs_tw_v5_CYI308316;1
gtfs_tw_v5_CYI308317;1
gtfs_tw_v5_CYI308318;1
gtfs_tw_v5_CYI308319;1
gtfs_tw_v5_CYI308320;1
gtfs_tw_v5_CYI308321;1
gtfs_tw_v5_CYI308322;1
gtfs_tw_v5_CYI308323;1
gtfs_tw_v5_CYI308324;1
gtfs_tw_v5_CYI308325;1
gtfs_tw_v5_CYI308326;1
gtfs_tw_v5_CYI308327;1
gtfs_tw_v5_CYI308328;1
gtfs_tw_v5_CYI308329;1
gtfs_tw_v5_CYI308331;1
gtfs_tw_v5_CYI308332;1
gtfs_tw_v5_CYI308333;1
gtfs_tw_v5_CYI308337;1
gtfs_tw_v5_CYI308339;1
gtfs_tw_v5_CYI308340;1
gtfs_tw_v5_CYI308341;1
gtfs_tw_v5_CYI308345;1
gtfs_tw_v5_CYI308346;1
gtfs_tw_v5_CYI308357;1
gtfs_tw_v5_CYI308358;1
gtfs_tw_v5_CYI308359;1
gtfs_tw_v5_CYI308360;1
gtfs_tw_v5_CYI308367;1
gtfs_tw_v5_CYI308368;1
gtfs_tw_v5_CYI308369;1
gtfs_tw_v5_CYI308371;1
gtfs_tw_v5_CYI308373;1
gtfs_tw_v5_CYI308374;1
gtfs_tw_v5_CYI308375;1
gtfs_tw_v5_CYI308376;1
gtfs_tw_v5_CYI308377;1
gtfs_tw_v5_CYI308379;1
gtfs_tw_v5_CYI308380;1
gtfs_tw_v5_CYI308381;1
gtfs_tw_v5_CYI308382;1
gtfs_tw_v5_CYI308383;1
gtfs_tw_v5_CYI308384;1
gtfs_tw_v5_CYI308385;1
gtfs_tw_v5_CYI308386;1
gtfs_tw_v5_CYI308387;1
gtfs_tw_v5_CYI308388;1
gtfs_tw_v5_CYI308389;1
gtfs_tw_v5_CYI308390;1
gtfs_tw_v5_CYI308391;1
gtfs_tw_v5_CYI308392;1
gtfs_tw_v5_CYI308393;1
gtfs_tw_v5_CYI308394;1
gtfs_tw_v5_CYI308396;1
gtfs_tw_v5_CYI308397;1
gtfs_tw_v5_CYI308398;1
gtfs_tw_v5_CYI308399;1
gtfs_tw_v5_CYI308400;1
gtfs_tw_v5_CYI308401;1
gtfs_tw_v5_CYI308402;1
gtfs_tw_v5_CYI308403;1
gtfs_tw_v5_CYI308404;1
gtfs_tw_v5_CYI308405;1
gtfs_tw_v5_CYI308406;1
gtfs_tw_v5_CYI308407;1
gtfs_tw_v5_CYI308408;1
gtfs_tw_v5_CYI308409;1
gtfs_tw_v5_CYI308410;1
gtfs_tw_v5_CYI308411;1
gtfs_tw_v5_CYI308412;1
gtfs_tw_v5_CYI308413;1
gtfs_tw_v5_CYI308414;1
gtfs_tw_v5_CYI308415;1
gtfs_tw_v5_CYI308416;1
gtfs_tw_v5_CYI308417;1
