stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
BL21_Exit 1,BL21,1,板南線,25.050319,121.592726,,,2,096,Asia/Taipei,0,
BL21_Exit 2,BL21,2,板南線,25.050402,121.592825,,,2,096,Asia/Taipei,0,
BL21_Exit 3,BL21,3,板南線,25.050599,121.59363,,,2,096,Asia/Taipei,0,
BL21_Exit 4,BL21,4,板南線,25.050572,121.593799,,,2,096,Asia/Taipei,0,
097,BL22,南港,板南線,25.052035,121.60697,,,1,,Asia/Taipei,1,
BL22_UP,BL22,南港-上行月臺(板南線),板南線,25.052035,121.60697,,,0,097,Asia/Taipei,1,一
BL22_DN,BL22,南港-下行月臺(板南線),板南線,25.052035,121.60697,,,0,097,Asia/Taipei,1,二
BL22_Exit 1,BL22,1,板南線,25.051911,121.606357,,,2,097,Asia/Taipei,0,
BL22_Exit 2,BL22,2,板南線,25.052025,121.60743,,,2,097,Asia/Taipei,1,
031,BR24BL23,南港展覽館,文湖線/板南線,25.054919,121.616861,,,1,,Asia/Taipei,1,
BL23_UP,BL23,南港展覽館-上行月臺(板南線),板南線,25.054919,121.616861,,,0,031,Asia/Taipei,1,一
BL23_DN,BL23,南港展覽館-下行月臺(板南線),板南線,25.054919,121.616861,,,0,031,Asia/Taipei,1,二
BR24_UP,BR24,南港展覽館-上行月臺(文湖線),文湖線,25.054919,121.616861,,,0,031,Asia/Taipei,1,一
BR24_DN,BR24,南港展覽館-下行月臺(文湖線),文湖線,25.054919,121.616861,,,0,031,Asia/Taipei,1,二
BR24BL23_Exit 1,BR24BL23,1,文湖線/板南線,25.055847,121.616936,,,2,031,Asia/Taipei,1,
BR24BL23_Exit 2,BR24BL23,2,文湖線/板南線,25.055308,121.616984,,,2,031,Asia/Taipei,1,
BR24BL23_Exit 2A,BR24BL23,2A,文湖線/板南線,25.05524,121.617043,,,2,031,Asia/Taipei,1,
BR24BL23_Exit 3,BR24BL23,3,文湖線/板南線,25.055123,121.618239,,,2,031,Asia/Taipei,1,
BR24BL23_Exit 4,BR24BL23,4,文湖線/板南線,25.055386,121.618266,,,2,031,Asia/Taipei,1,
BR24BL23_Exit 5,BR24BL23,5,文湖線/板南線,25.054917,121.616861,,,2,031,Asia/Taipei,1,
BR24BL23_Exit 6,BR24BL23,6,文湖線/板南線,25.054739,121.618183,,,2,031,Asia/Taipei,0,
BR24BL23_Exit 7,BR24BL23,7,文湖線/板南線,25.054035,121.618148,,,2,031,Asia/Taipei,0,
033,G01,新店,松山新店線,24.95761,121.53746,,,1,,Asia/Taipei,1,
G01_UP,G01,新店-上行月臺(松山新店線),松山新店線,24.95761,121.53746,,,0,033,Asia/Taipei,1,一
G01_DN,G01,新店-下行月臺(松山新店線),松山新店線,24.95761,121.53746,,,0,033,Asia/Taipei,1,二
G01_Single Exit,G01,單一,松山新店線,24.957877,121.537558,,,2,033,Asia/Taipei,1,
034,G02,新店區公所,松山新店線,24.96744,121.5413,,,1,,Asia/Taipei,1,
G02_UP,G02,新店區公所-上行月臺(松山新店線),松山新店線,24.96744,121.5413,,,0,034,Asia/Taipei,1,一
G02_DN,G02,新店區公所-下行月臺(松山新店線),松山新店線,24.96744,121.5413,,,0,034,Asia/Taipei,1,二
G02_Exit 1,G02,1,松山新店線,24.967393,121.541124,,,2,034,Asia/Taipei,1,
