route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color
TXG7501_1,TXG_3,75副,75副,3,,,
TXG77_0,TXG_U-15-3,77,77,3,,,
TXG77_1,TXG_U-15-3,77,77,3,,,
TXG79_0,TXG_U-15-3,79,79,3,,,
TXG79_1,TXG_U-15-3,79,79,3,,,
TXG8_0,TXG_1,8,8,3,,,
TXG8_1,TXG_1,8,8,3,,,
TXG81_0,TXG_U-15-3,81,81,3,,,
TXG81_1,TXG_U-15-3,81,81,3,,,
TXG811_0,TXG_U-1-15-3,811,811,3,,,
TXG811_1,TXG_U-1-15-3,811,811,3,,,
TXG813_0,TXG_19,813,813,3,,,
TXG813_1,TXG_19,813,813,3,,,
TXG8131_0,TXG_19,813區1,813區1,3,,,
TXG8131_1,TXG_19,813區1,813區1,3,,,
TXG82_0,TXG_1,82,82,3,,,
TXG82_1,TXG_1,82,82,3,,,
TXG821_0,TXG_6,821,821,3,,,
TXG821_1,TXG_6,821,821,3,,,
TXG83_0,TXG_19,83,83,3,,,
TXG83_1,TXG_19,83,83,3,,,
TXG839_0,TXG_24,839,839,3,,,
TXG839_1,TXG_24,839,839,3,,,
TXG85_0,TXG_U-15-3,85,85,3,,,
TXG85_1,TXG_U-15-3,85,85,3,,,
TXG850_0,TXG_6,850,850,3,,,
TXG850_1,TXG_6,850,850,3,,,
TXG853_0,TXG_6,153區,153區,3,,,
TXG853_1,TXG_6,153區,153區,3,,,
TXG86_0,TXG_23,86,86,3,,,
TXG86_1,TXG_23,86,86,3,,,
