time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode
23839,6:37:19,metro_up_01,subway,pt,302616.9246937118,2770895.566168075,1,in_leg,,Blue,403_1460_UP,subway
23839,6:37:19,metro_up_01,subway,pt,303411.22926135635,2770690.010448327,1,in_leg,,Blue,403_1460_UP,subway
23843,6:37:23,metro_up_01,subway,pt,300074.1331263253,2769694.754198079,1,in_leg,,Blue,403_1460_UP,subway
23843,6:37:23,metro_up_01,subway,pt,302619.1552502445,2770894.958536259,1,in_leg,,Blue,403_1460_UP,subway
23844,6:37:24,metro_up_01,subway,pt,301088.9677911938,2770348.833936737,1,in_leg,,Blue,403_1460_UP,subway
23844,6:37:24,metro_up_01,subway,pt,301905.35769201175,2770850.8784708297,1,in_leg,,Blue,403_1460_UP,subway
23844,6:37:24,metro_up_01,subway,pt,303414.22895178833,2770689.2524361955,1,in_leg,,Blue,403_1460_UP,subway
23848,6:37:28,metro_up_01,subway,pt,300087.091069063,2769697.372477365,1,in_leg,,Blue,403_1460_UP,subway
23848,6:37:28,metro_up_01,subway,pt,302621.38580677717,2770894.3509044424,1,in_leg,,Blue,403_1460_UP,subway
23849,6:37:29,metro_up_01,subway,pt,301092.2296417224,2770351.933365006,1,in_leg,,Blue,403_1460_UP,subway
23849,6:37:29,metro_up_01,subway,pt,301908.7664016322,2770852.629980039,1,in_leg,,Blue,403_1460_UP,subway
23849,6:37:29,metro_up_01,subway,pt,303417.2286422203,2770688.4944240646,1,in_leg,,Blue,403_1460_UP,subway
23853,6:37:33,metro_up_01,subway,pt,300100.0490118007,2769699.990756651,1,in_leg,,Blue,403_1460_UP,subway
23853,6:37:33,metro_up_01,subway,pt,302623.6163633099,2770893.7432726263,1,in_leg,,Blue,403_1460_UP,subway
23854,6:37:34,metro_up_01,subway,pt,301095.491492251,2770355.032793275,1,in_leg,,Blue,403_1460_UP,subway
23854,6:37:34,metro_up_01,subway,pt,301912.17511125264,2770854.381489248,1,in_leg,,Blue,403_1460_UP,subway
23854,6:37:34,metro_up_01,subway,pt,303420.22833265224,2770687.736411934,1,in_leg,,Blue,403_1460_UP,subway
23858,6:37:38,metro_up_01,subway,pt,300113.00695453834,2769702.6090359366,1,in_leg,,Blue,403_1460_UP,subway
23858,6:37:38,metro_up_01,subway,pt,302625.8469198426,2770893.1356408102,1,in_leg,,Blue,403_1460_UP,subway
23859,6:37:39,metro_up_01,subway,pt,301098.7533427796,2770358.132221544,1,in_leg,,Blue,403_1460_UP,subway
23859,6:37:39,metro_up_01,subway,pt,301915.58382087306,2770856.132998457,1,in_leg,,Blue,403_1460_UP,subway
23859,6:37:39,metro_up_01,subway,pt,303423.22802308423,2770686.978399803,1,in_leg,,Blue,403_1460_UP,subway
23863,6:37:43,metro_up_01,subway,pt,300125.964897276,2769705.227315223,1,in_leg,,Blue,403_1460_UP,subway
23863,6:37:43,metro_up_01,subway,pt,302628.07747637527,2770892.5280089937,1,in_leg,,Blue,403_1460_UP,subway
23864,6:37:44,metro_up_01,subway,pt,301102.01519330824,2770361.2316498132,1,in_leg,,Blue,403_1460_UP,subway
23864,6:37:44,metro_up_01,subway,pt,301918.9925304935,2770857.8845076663,1,in_leg,,Blue,403_1460_UP,subway
23864,6:37:44,metro_up_01,subway,pt,303426.22771351616,2770686.220387672,1,in_leg,,Blue,403_1460_UP,subway
23868,6:37:48,metro_up_01,subway,pt,300138.9228400137,2769707.8455945086,1,in_leg,,Blue,403_1460_UP,subway
23868,6:37:48,metro_up_01,subway,pt,302630.30803290795,2770891.9203771777,1,in_leg,,Blue,403_1460_UP,subway
23869,6:37:49,metro_up_01,subway,pt,301105.27704383683,2770364.3310780823,1,in_leg,,Blue,403_1460_UP,subway
23869,6:37:49,metro_up_01,subway,pt,301922.40124011395,2770859.6360168755,1,in_leg,,Blue,403_1460_UP,subway
23869,6:37:49,metro_up_01,subway,pt,303429.22740394814,2770685.4623755408,1,in_leg,,Blue,403_1460_UP,subway
23873,6:37:53,metro_up_01,subway,pt,300151.88078275137,2769710.4638737943,1,in_leg,,Blue,403_1460_UP,subway
23873,6:37:53,metro_up_01,subway,pt,302632.53858944064,2770891.3127453616,1,in_leg,,Blue,403_1460_UP,subway
23874,6:37:54,metro_up_01,subway,pt,301108.5388943654,2770367.4305063514,1,in_leg,,Blue,403_1460_UP,subway
23874,6:37:54,metro_up_01,subway,pt,301925.80994973436,2770861.3875260847,1,in_leg,,Blue,403_1460_UP,subway
23874,6:37:54,metro_up_01,subway,pt,303432.2270943801,2770684.70436341,1,in_leg,,Blue,403_1460_UP,subway
23878,6:37:58,metro_up_01,subway,pt,300164.83872548904,2769713.0821530805,1,in_leg,,Blue,403_1460_UP,subway
23878,6:37:58,metro_up_01,subway,pt,302634.7691459733,2770890.705113545,1,in_leg,,Blue,403_1460_UP,subway
23879,6:37:59,metro_up_01,subway,pt,301111.800744894,2770370.5299346205,1,in_leg,,Blue,403_1460_UP,subway
23879,6:37:59,metro_up_01,subway,pt,301929.2186593548,2770863.139035294,1,in_leg,,Blue,403_1460_UP,subway
23879,6:37:59,metro_up_01,subway,pt,303435.22678481205,2770683.946351279,1,in_leg,,Blue,403_1460_UP,subway
23883,6:38:03,metro_up_01,subway,pt,300177.7966682267,2769715.700432366,1,in_leg,,Blue,403_1460_UP,subway
23883,6:38:03,metro_up_01,subway,pt,302636.999702506,2770890.097481729,1,in_leg,,Blue,403_1460_UP,subway
23884,6:38:04,metro_up_01,subway,pt,301115.0625954226,2770373.6293628896,1,in_leg,,Blue,403_1460_UP,subway
23884,6:38:04,metro_up_01,subway,pt,301932.6273689752,2770864.890544503,1,in_leg,,Blue,403_1460_UP,subway
23884,6:38:04,metro_up_01,subway,pt,303438.22647524404,2770683.188339148,1,in_leg,,Blue,403_1460_UP,subway
23888,6:38:08,metro_up_01,subway,pt,300190.7546109644,2769718.318711652,1,in_leg,,Blue,403_1460_UP,subway
23888,6:38:08,metro_up_01,subway,pt,302639.2302590387,2770889.489849913,1,in_leg,,Blue,403_1460_UP,subway
23889,6:38:09,metro_up_01,subway,pt,301118.3244459512,2770376.7287911586,1,in_leg,,Blue,403_1460_UP,subway
23889,6:38:09,metro_up_01,subway,pt,301936.0360785956,2770866.642053712,1,in_leg,,Blue,403_1460_UP,subway
23889,6:38:09,metro_up_01,subway,pt,303441.22616567597,2770682.4303270173,1,in_leg,,Blue,403_1460_UP,subway
23893,6:38:13,metro_up_01,subway,pt,300203.71255370206,2769720.936990938,1,in_leg,,Blue,403_1460_UP,subway
23893,6:38:13,metro_up_01,subway,pt,302641.46081557136,2770888.8822180964,1,in_leg,,Blue,403_1460_UP,subway
23894,6:38:14,metro_up_01,subway,pt,301121.5862964798,2770379.8282194277,1,in_leg,,Blue,403_1460_UP,subway
23894,6:38:14,metro_up_01,subway,pt,301939.4447882161,2770868.3935629213,1,in_leg,,Blue,403_1460_UP,subway
23894,6:38:14,metro_up_01,subway,pt,303444.22585610795,2770681.6723148865,1,in_leg,,Blue,403_1460_UP,subway
23898,6:38:18,metro_up_01,subway,pt,300216.67049643974,2769723.555270224,1,in_leg,,Blue,403_1460_UP,subway
23898,6:38:18,metro_up_01,subway,pt,302643.69137210405,2770888.2745862803,1,in_leg,,Blue,403_1460_UP,subway
23899,6:38:19,metro_up_01,subway,pt,301124.84814700845,2770382.927647697,1,in_leg,,Blue,403_1460_UP,subway
23899,6:38:19,metro_up_01,subway,pt,301942.8534978365,2770870.1450721305,1,in_leg,,Blue,403_1460_UP,subway
23899,6:38:19,metro_up_01,subway,pt,303447.22554653994,2770680.914302755,1,in_leg,,Blue,403_1460_UP,subway
23903,6:38:23,metro_up_01,subway,pt,300229.6284391774,2769726.1735495096,1,in_leg,,Blue,403_1460_UP,subway
23903,6:38:23,metro_up_01,subway,pt,302645.92192863673,2770887.666954464,1,in_leg,,Blue,403_1460_UP,subway
23904,6:38:24,metro_up_01,subway,pt,301128.10999753705,2770386.027075966,1,in_leg,,Blue,403_1460_UP,subway
23904,6:38:24,metro_up_01,subway,pt,301946.2622074569,2770871.8965813396,1,in_leg,,Blue,403_1460_UP,subway
23904,6:38:24,metro_up_01,subway,pt,303450.22523697186,2770680.1562906243,1,in_leg,,Blue,403_1460_UP,subway
23908,6:38:28,metro_up_01,subway,pt,300242.5863819151,2769728.791828796,1,in_leg,,Blue,403_1460_UP,subway
23908,6:38:28,metro_up_01,subway,pt,302648.1524851694,2770887.0593226478,1,in_leg,,Blue,403_1460_UP,subway
23908,6:38:28,metro_up_01,subway,pt,303453.22492740385,2770679.3982784934,1,in_leg,,Blue,403_1460_UP,subway
23909,6:38:29,metro_up_01,subway,pt,301131.37184806564,2770389.126504235,1,in_leg,,Blue,403_1460_UP,subway
23909,6:38:29,metro_up_01,subway,pt,301949.67091707734,2770873.648090549,1,in_leg,,Blue,403_1460_UP,subway
23913,6:38:33,metro_up_01,subway,pt,300255.54432465276,2769731.4101080815,1,in_leg,,Blue,403_1460_UP,subway
23913,6:38:33,metro_up_01,subway,pt,302650.38304170215,2770886.4516908317,1,in_leg,,Blue,403_1460_UP,subway
23913,6:38:33,metro_up_01,subway,pt,303456.2246178358,2770678.6402663626,1,in_leg,,Blue,403_1460_UP,subway
23914,6:38:34,metro_up_01,subway,pt,301134.63369859423,2770392.225932504,1,in_leg,,Blue,403_1460_UP,subway
23914,6:38:34,metro_up_01,subway,pt,301953.0796266978,2770875.399599758,1,in_leg,,Blue,403_1460_UP,subway
23918,6:38:38,metro_up_01,subway,pt,300268.50226739043,2769734.0283873673,1,in_leg,,Blue,403_1460_UP,subway
23918,6:38:38,metro_up_01,subway,pt,302652.61359823484,2770885.844059015,1,in_leg,,Blue,403_1460_UP,subway
23918,6:38:38,metro_up_01,subway,pt,303459.22430826776,2770677.8822542317,1,in_leg,,Blue,403_1460_UP,subway
23919,6:38:39,metro_up_01,subway,pt,301137.8955491228,2770395.325360773,1,in_leg,,Blue,403_1460_UP,subway
23919,6:38:39,metro_up_01,subway,pt,301956.48833631823,2770877.151108967,1,in_leg,,Blue,403_1460_UP,subway
23923,6:38:43,metro_up_01,subway,pt,300281.4602101281,2769736.6466666535,1,in_leg,,Blue,403_1460_UP,subway
23923,6:38:43,metro_up_01,subway,pt,302654.8441547675,2770885.236427199,1,in_leg,,Blue,403_1460_UP,subway
23923,6:38:43,metro_up_01,subway,pt,303462.2239986997,2770677.1242421004,1,in_leg,,Blue,403_1460_UP,subway
23924,6:38:44,metro_up_01,subway,pt,301141.1573996514,2770398.424789042,1,in_leg,,Blue,403_1460_UP,subway
23924,6:38:44,metro_up_01,subway,pt,301959.89704593865,2770878.9026181763,1,in_leg,,Blue,403_1460_UP,subway
23928,6:38:48,metro_up_01,subway,pt,300294.4181528658,2769739.264945939,1,in_leg,,Blue,403_1460_UP,subway
23928,6:38:48,metro_up_01,subway,pt,302657.0747113002,2770884.628795383,1,in_leg,,Blue,403_1460_UP,subway
23928,6:38:48,metro_up_01,subway,pt,303465.2236891317,2770676.3662299695,1,in_leg,,Blue,403_1460_UP,subway
23929,6:38:49,metro_up_01,subway,pt,301144.4192501801,2770401.5242173113,1,in_leg,,Blue,403_1460_UP,subway
23929,6:38:49,metro_up_01,subway,pt,301963.30575555906,2770880.6541273855,1,in_leg,,Blue,403_1460_UP,subway
23933,6:38:53,metro_up_01,subway,pt,300307.37609560345,2769741.883225225,1,in_leg,,Blue,403_1460_UP,subway
23933,6:38:53,metro_up_01,subway,pt,302659.3052678329,2770884.0211635665,1,in_leg,,Blue,403_1460_UP,subway
23933,6:38:53,metro_up_01,subway,pt,303468.22337956366,2770675.6082178387,1,in_leg,,Blue,403_1460_UP,subway
23934,6:38:54,metro_up_01,subway,pt,301147.68110070867,2770404.6236455804,1,in_leg,,Blue,403_1460_UP,subway
23934,6:38:54,metro_up_01,subway,pt,301966.7144651795,2770882.4056365946,1,in_leg,,Blue,403_1460_UP,subway
23938,6:38:58,metro_up_01,subway,pt,300320.3340383411,2769744.501504511,1,in_leg,,Blue,403_1460_UP,subway
23938,6:38:58,metro_up_01,subway,pt,302661.53582436556,2770883.4135317504,1,in_leg,,Blue,403_1460_UP,subway
