stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
BR24BL23_Exit 3,BR24BL23,3,文湖線/板南線,25.055123,121.618239,,,2,031,Asia/Taipei,1,,312377.952,2772025.636
BR24BL23_Exit 4,BR24BL23,4,文湖線/板南線,25.055386,121.618266,,,2,031,Asia/Taipei,1,,312380.544,2772054.78
BR24BL23_Exit 5,BR24BL23,5,文湖線/板南線,25.054917,121.616861,,,2,031,Asia/Taipei,1,,312239.018,2772002.183
BR24BL23_Exit 6,BR24BL23,6,文湖線/板南線,25.054739,121.618183,,,2,031,Asia/Taipei,0,,312372.496,2771983.076
BR24BL23_Exit 7,BR24BL23,7,文湖線/板南線,25.054035,121.618148,,,2,031,Asia/Taipei,0,,312369.321,2771905.08
033,G01,新店,松山新店線,24.95761,121.53746,,,1,,Asia/Taipei,1,,304270.325,2761189.791
G01_UP,G01,新店-上行月臺(松山新店線),松山新店線,24.95761,121.53746,,,0,033,Asia/Taipei,1,一,304270.325,2761189.791
G01_DN,G01,新店-下行月臺(松山新店線),松山新店線,24.95761,121.53746,,,0,033,Asia/Taipei,1,二,304270.325,2761189.791
G01_Single Exit,G01,單一,松山新店線,24.957877,121.537558,,,2,033,Asia/Taipei,1,,304280.103,2761219.404
034,G02,新店區公所,松山新店線,24.96744,121.5413,,,1,,Asia/Taipei,1,,304653.737,2762280.146
G02_UP,G02,新店區公所-上行月臺(松山新店線),松山新店線,24.96744,121.5413,,,0,034,Asia/Taipei,1,一,304653.737,2762280.146
G02_DN,G02,新店區公所-下行月臺(松山新店線),松山新店線,24.96744,121.5413,,,0,034,Asia/Taipei,1,二,304653.737,2762280.146
G02_Exit 1,G02,1,松山新店線,24.967393,121.541124,,,2,034,Asia/Taipei,1,,304635.987,2762274.869
G02_Exit 2,G02,2,松山新店線,24.967986,121.541845,,,2,034,Asia/Taipei,0,,304708.524,2762340.843
035,G03,七張,松山新店線,24.97545,121.542985,,,1,,Asia/Taipei,1,,304820.321,2763168.05
G03_UP,G03,七張-上行月臺(松山新店線),松山新店線,24.97545,121.542985,,,0,035,Asia/Taipei,1,一,304820.321,2763168.05
G03_DN,G03,七張-下行月臺(松山新店線),松山新店線,24.97545,121.542985,,,0,035,Asia/Taipei,1,二,304820.321,2763168.05
G03_Exit 1,G03,1,松山新店線,24.975025,121.543068,,,2,035,Asia/Taipei,1,,304828.889,2763121.008
G03_Exit 2,G03,2,松山新店線,24.97691,121.542641,,,2,035,Asia/Taipei,0,,304784.943,2763329.627
032,G03A,小碧潭,松山新店線,24.97188,121.53058,,,1,,Asia/Taipei,1,,303569.422,2762767.666
G03A_UP,G03A,小碧潭-上行月臺(松山新店線),松山新店線,24.97188,121.53058,,,0,032,Asia/Taipei,1,,303569.422,2762767.666
G03A_DN,G03A,小碧潭-下行月臺(松山新店線),松山新店線,24.97188,121.53058,,,0,032,Asia/Taipei,1,,303569.422,2762767.666
G03A_Exit 1,G03A,1,松山新店線,24.971684,121.530311,,,2,032,Asia/Taipei,1,,303542.347,2762745.85
G03A_Exit 2,G03A,2,松山新店線,24.973192,121.52995,,,2,032,Asia/Taipei,1,,303505.246,2762912.74
036,G04Y07,大坪林,松山新店線/環狀線,24.9827205,121.54134,,,1,,Asia/Taipei,1,,304651.023,2763972.701
G04_UP,G04,大坪林-上行月臺(松山新店線),松山新店線,24.9827205,121.54134,,,0,036,Asia/Taipei,1,一,304651.023,2763972.701
G04_DN,G04,大坪林-下行月臺(松山新店線),松山新店線,24.9827205,121.54134,,,0,036,Asia/Taipei,1,二,304651.023,2763972.701
