stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
O14_UP,O14,菜寮-上行月臺(中和新蘆線),中和新蘆線,25.059451,121.491421,,,0,126,Asia/Taipei,1,一,299580.531,2772452.553
O14_DN,O14,菜寮-下行月臺(中和新蘆線),中和新蘆線,25.059451,121.491421,,,0,126,Asia/Taipei,1,二,299580.531,2772452.553
125,O15,三重,中和新蘆線,25.05571,121.48422,,,1,,Asia/Taipei,1,,298855.478,2772035.56
O15_UP,O15,三重-上行月臺(中和新蘆線),中和新蘆線,25.05571,121.48422,,,0,125,Asia/Taipei,1,一,298855.478,2772035.56
O15_DN,O15,三重-下行月臺(中和新蘆線),中和新蘆線,25.05571,121.48422,,,0,125,Asia/Taipei,1,二,298855.478,2772035.56
124,O16,先嗇宮,中和新蘆線,25.04632,121.47165,,,1,,Asia/Taipei,1,,297590.832,2770990.996
O16_UP,O16,先嗇宮-上行月臺(中和新蘆線),中和新蘆線,25.04632,121.47165,,,0,124,Asia/Taipei,1,一,297590.832,2770990.996
O16_DN,O16,先嗇宮-下行月臺(中和新蘆線),中和新蘆線,25.04632,121.47165,,,0,124,Asia/Taipei,1,二,297590.832,2770990.996
123,Y18O17,頭前庄,環狀線/中和新蘆線,25.039735,121.461655,,,1,,Asia/Taipei,1,,296584.781,2770258.132
O17_UP,O17,頭前庄-上行月臺(中和新蘆線),中和新蘆線,25.039735,121.461655,,,0,123,Asia/Taipei,1,一,296584.781,2770258.132
O17_DN,O17,頭前庄-下行月臺(中和新蘆線),中和新蘆線,25.039735,121.461655,,,0,123,Asia/Taipei,1,二,296584.781,2770258.132
122,O18,新莊,中和新蘆線,25.03608,121.45218,,,1,,Asia/Taipei,1,,295630.015,2769850.061
O18_UP,O18,新莊-上行月臺(中和新蘆線),中和新蘆線,25.03608,121.45218,,,0,122,Asia/Taipei,1,一,295630.015,2769850.061
O18_DN,O18,新莊-下行月臺(中和新蘆線),中和新蘆線,25.03608,121.45218,,,0,122,Asia/Taipei,1,二,295630.015,2769850.061
121,O19,輔大,中和新蘆線,25.03279,121.435735,,,1,,Asia/Taipei,1,,293971.683,2769480.204
O19_UP,O19,輔大-上行月臺(中和新蘆線),中和新蘆線,25.03279,121.435735,,,0,121,Asia/Taipei,1,一,293971.683,2769480.204
O19_DN,O19,輔大-下行月臺(中和新蘆線),中和新蘆線,25.03279,121.435735,,,0,121,Asia/Taipei,1,二,293971.683,2769480.204
180,O20,丹鳳,中和新蘆線,25.029073,121.422422,,,1,,Asia/Taipei,1,,292629.485,2769064.236
O20_UP,O20,丹鳳-上行月臺(中和新蘆線),中和新蘆線,25.029073,121.422422,,,0,180,Asia/Taipei,1,一,292629.485,2769064.236
O20_DN,O20,丹鳳-下行月臺(中和新蘆線),中和新蘆線,25.029073,121.422422,,,0,180,Asia/Taipei,1,二,292629.485,2769064.236
179,O21,迴龍,中和新蘆線,25.022107,121.411757,,,1,,Asia/Taipei,1,,291555.541,2768289.339
O21_UP,O21,迴龍-上行月臺(中和新蘆線),中和新蘆線,25.022107,121.411757,,,0,179,Asia/Taipei,1,一,291555.541,2768289.339
